ID,age,workclass,marital_status,sex,hours_per_week,capital,income
43,49,Private,Separated,Female,40,31011.21936271041,<=50K
44,25,Private,Never-married,Male,35,,<=50K
45,57,Federal-gov,Married-civ-spouse,Male,40,32232.631180109965,>50K
46,53,Private,Married-civ-spouse,Male,38,46130.91269187974,<=50K
47,44,Private,Divorced,Female,40,26666.314209029544,<=50K
48,41,State-gov,Married-civ-spouse,Male,40,25252.200825852833,<=50K
49,29,Private,Never-married,Male,43,24530.32724000919,<=50K
50,25,Private,Married-civ-spouse,Female,40,,<=50K
51,18,Private,Never-married,Female,30,,<=50K
52,47,Private,Married-civ-spouse,Female,50,25972.240616343366,>50K
53,50,Federal-gov,Divorced,Male,50,46908.48965754231,>50K
54,47,Self-emp-inc,Divorced,Male,50,26242.764808850647,<=50K
55,43,Private,Married-civ-spouse,Male,40,25362.25228590981,>50K
56,46,Private,Married-civ-spouse,Male,40,25160.89056851364,<=50K
57,35,Private,Married-civ-spouse,Male,40,34148.931249115885,<=50K
58,41,Private,Married-civ-spouse,Male,48,25617.781117617946,<=50K
59,30,Private,Married-civ-spouse,Male,40,27653.25405615048,<=50K
60,30,Private,Married-civ-spouse,Male,40,22784.95148631822,<=50K
61,32,,Married-spouse-absent,Male,40,23495.55347507656,<=50K
62,48,Private,Married-civ-spouse,Male,40,28871.46775421638,<=50K
63,42,Private,Married-civ-spouse,Male,45,31791.264323058225,>50K
64,29,Private,Divorced,Male,50,26908.018947620803,<=50K
65,36,Private,Married-civ-spouse,Male,40,23142.18126039017,<=50K
66,28,Private,Divorced,Female,40,32247.6174214551,<=50K
67,53,Private,Married-civ-spouse,Female,40,25038.469083947115,>50K
68,49,Self-emp-inc,Married-civ-spouse,Male,50,33328.43688826953,>50K
69,25,,Never-married,Male,40,,<=50K
70,19,Private,Never-married,Male,32,,<=50K
71,31,Private,Separated,Female,40,25678.198471361076,<=50K
72,29,Self-emp-not-inc,Married-civ-spouse,Male,50,21380.538612511045,>50K
73,23,Private,Never-married,Male,40,,<=50K
74,79,Private,Married-civ-spouse,Male,20,25899.253298225194,<=50K
75,27,Private,Never-married,Male,40,34950.633722635626,<=50K
76,40,Private,Married-civ-spouse,Male,40,28269.389336702217,<=50K
77,67,,Married-civ-spouse,Male,20,34530.04065594684,<=50K
78,18,Private,Never-married,Female,22,,<=50K
79,31,Local-gov,Married-civ-spouse,Male,40,26791.422380726865,<=50K
80,18,Private,Never-married,Male,30,,<=50K
81,52,Private,Married-civ-spouse,Male,40,23283.475003773026,<=50K
82,46,Private,Married-civ-spouse,Female,40,24505.812815182366,<=50K
83,59,Private,Married-civ-spouse,Male,48,30130.774052080145,<=50K
84,44,Private,Divorced,Female,40,27157.747922256163,>50K
85,53,Private,Divorced,Female,35,46406.618978478036,<=50K
86,49,Local-gov,Married-civ-spouse,Male,40,50616.37927434729,>50K
87,33,Private,Married-civ-spouse,Male,50,32404.12450100497,<=50K
88,30,Private,Never-married,Male,40,25982.198903432778,<=50K
89,43,Federal-gov,Never-married,Female,50,26987.579782643847,>50K
90,57,Private,Married-civ-spouse,Male,40,29345.952213366592,<=50K
91,37,Private,Divorced,Female,40,34402.485063354,<=50K
92,28,Private,Divorced,Female,25,23854.34192305793,<=50K
93,30,Private,Married-civ-spouse,Female,35,27547.672694971963,<=50K
94,34,Local-gov,Married-civ-spouse,Male,40,33206.92058519627,>50K
95,29,Local-gov,Never-married,Male,50,23963.775364654437,<=50K
96,48,Self-emp-not-inc,Married-civ-spouse,Male,50,32895.58423523392,>50K
97,37,Private,Married-civ-spouse,Male,48,28342.856417786345,>50K
98,48,Private,Divorced,Female,40,24605.781911512953,<=50K
99,32,Federal-gov,Never-married,Male,40,32729.50011067152,<=50K
100,76,Private,Married-civ-spouse,Male,40,43184.21635841496,>50K
101,44,Private,Married-civ-spouse,Male,50,33237.52467990756,>50K
102,47,Self-emp-not-inc,Never-married,Female,50,25429.873395335475,<=50K
103,20,Private,Never-married,Female,40,,<=50K
104,29,Private,Never-married,Male,40,25451.025451873043,<=50K
105,32,Self-emp-inc,Married-civ-spouse,Male,40,25928.309929219733,>50K
106,17,,Never-married,Female,32,,<=50K
107,30,Private,Never-married,Male,40,32475.675025364497,<=50K
108,31,Local-gov,Never-married,Female,40,32442.43300742213,<=50K
109,42,Private,Married-civ-spouse,Male,40,33478.19125074813,<=50K
110,24,Private,Never-married,Male,40,,<=50K
111,38,Private,Married-civ-spouse,Male,40,27412.57179342258,>50K
112,56,Self-emp-not-inc,Married-civ-spouse,Male,50,22822.091153220175,>50K
113,28,Private,Married-civ-spouse,Female,25,29506.594068970444,<=50K
114,36,Private,Never-married,Female,40,34499.37073452478,<=50K
115,53,Private,Married-civ-spouse,Male,50,33824.806430029406,<=50K
116,56,Self-emp-inc,Married-civ-spouse,Male,50,20083.226449609687,<=50K
117,49,Local-gov,Married-civ-spouse,Male,40,47005.96981255169,>50K
118,55,Private,Married-civ-spouse,Male,50,17272.57774529392,<=50K
119,22,Private,Never-married,Male,41,,<=50K
120,21,Private,Never-married,Female,40,,<=50K
121,40,Private,Married-civ-spouse,Male,50,30555.257744404626,<=50K
122,30,Private,Never-married,Male,40,49398.12956736765,<=50K
123,29,State-gov,Married-civ-spouse,Male,50,15472.814748316638,>50K
124,19,Private,Never-married,Male,35,,<=50K
125,47,Private,Married-civ-spouse,Female,40,28843.86361399096,>50K
126,20,Private,Never-married,Female,28,,<=50K
127,31,Private,Married-civ-spouse,Male,40,31796.295719309826,>50K
128,35,,Married-civ-spouse,Male,40,27172.489747500982,<=50K
129,39,Private,Divorced,Male,40,30575.91849276489,<=50K
130,28,Private,Never-married,Female,50,48033.60259932998,<=50K
131,24,Private,Never-married,Female,40,,<=50K
132,38,Self-emp-not-inc,Married-civ-spouse,Male,35,24637.270781767264,<=50K
133,37,Private,Married-civ-spouse,Male,50,29010.98061378302,<=50K
134,46,Private,Divorced,Female,36,25935.84475464993,<=50K
135,38,Federal-gov,Married-civ-spouse,Male,40,34691.27102051946,>50K
136,43,Self-emp-not-inc,Married-civ-spouse,Male,50,33338.37013828357,<=50K
137,27,Private,Married-civ-spouse,Female,35,28412.99204348579,<=50K
138,20,Private,Never-married,Male,20,,<=50K
139,49,Private,Married-civ-spouse,Male,40,34584.34742365489,>50K
140,61,Self-emp-inc,Married-civ-spouse,Male,40,26266.887811319826,<=50K
141,27,Private,Never-married,Female,40,33727.10602221571,<=50K
142,19,Private,Never-married,Male,30,,<=50K
143,45,Private,Never-married,Female,40,29185.21112994056,>50K
144,70,Private,Never-married,Male,40,18532.63125777029,<=50K
145,31,Private,Never-married,Female,30,18217.95185153746,<=50K
146,22,Private,Married-civ-spouse,Male,24,,<=50K
147,36,Private,Widowed,Female,24,48621.57596472773,<=50K
148,64,Private,Married-civ-spouse,Male,40,20248.78096730315,<=50K
149,43,,Divorced,Female,40,34414.20269853044,<=50K
150,47,Local-gov,Divorced,Female,38,23833.384959940035,<=50K
151,34,Private,Never-married,Female,40,23707.969682440023,<=50K
152,33,Private,Never-married,Female,40,35088.8994388598,<=50K
153,21,Private,Never-married,Male,35,,<=50K
154,52,,Divorced,Male,45,27106.16851889399,>50K
155,48,Private,Married-civ-spouse,Male,46,27238.458376203977,<=50K
156,23,Private,Never-married,Male,40,,<=50K
157,71,Self-emp-not-inc,Separated,Male,20,30529.35284249701,<=50K
158,29,Private,Divorced,Male,50,28576.28739443344,<=50K
159,42,Private,Separated,Male,50,23290.807136174444,<=50K
160,68,,Divorced,Female,20,34666.53084669496,<=50K
161,25,Private,Never-married,Female,40,,<=50K
162,44,Self-emp-inc,Divorced,Female,40,33431.161504692805,<=50K
163,28,Private,Never-married,Female,40,26537.45858192137,<=50K
164,45,Self-emp-not-inc,Married-civ-spouse,Male,40,35039.650059901236,>50K
165,36,Private,Divorced,Female,40,31633.174980680316,<=50K
166,39,Federal-gov,Never-married,Male,42,28867.700918219223,<=50K
167,46,State-gov,Widowed,Male,40,44191.632842854204,<=50K
168,18,Private,Never-married,Male,20,,<=50K
169,66,Local-gov,Widowed,Female,20,41786.76468347057,<=50K
170,27,Private,Never-married,Male,40,23928.81207826686,<=50K
171,28,State-gov,Married-civ-spouse,Male,40,21249.180415767005,<=50K
172,51,Private,Married-civ-spouse,Male,40,20568.778096371258,>50K
173,27,Private,Never-married,Male,50,42270.857560594515,<=50K
174,28,State-gov,Married-civ-spouse,Male,40,26987.034193347565,>50K
175,27,Private,Married-spouse-absent,Female,25,34971.72621252073,<=50K
176,21,Private,Never-married,Male,40,,<=50K
177,34,Private,Never-married,Male,40,26053.080829283346,<=50K
178,18,Private,Never-married,Male,20,,<=50K
179,33,Private,Married-civ-spouse,Male,50,51093.81765433071,<=50K
180,44,Local-gov,Married-civ-spouse,Male,38,34893.99893161315,>50K
181,43,Private,Divorced,Female,40,35167.14619075811,<=50K
182,30,Private,Never-married,Male,45,22177.756411576316,<=50K
183,40,Private,Married-civ-spouse,Male,40,28395.883534387536,>50K
184,37,Federal-gov,Married-civ-spouse,Male,42,45865.54713190487,>50K
185,34,Private,Married-civ-spouse,Male,40,31652.89978186179,<=50K
186,41,Self-emp-not-inc,Divorced,Female,40,22211.329623295016,<=50K
187,53,,Divorced,Female,50,42989.706315498806,<=50K
188,31,Private,Married-civ-spouse,Female,50,34151.87115694652,<=50K
189,58,State-gov,Married-civ-spouse,Male,20,24644.472253885317,>50K
190,38,Private,Divorced,Female,28,47095.46742717327,<=50K
191,24,Private,Married-civ-spouse,Male,40,,<=50K
192,41,Local-gov,Married-civ-spouse,Male,40,22371.93321352604,<=50K
193,47,Private,Married-civ-spouse,Male,45,33321.350802406916,<=50K
194,41,Federal-gov,Married-civ-spouse,Male,24,34831.84329961602,<=50K
195,23,Private,Married-civ-spouse,Male,40,,<=50K
196,36,Private,Divorced,Male,40,27795.372901999315,<=50K
197,40,Federal-gov,Never-married,Female,50,34458.38676403517,>50K
198,35,Private,Married-civ-spouse,Male,40,29598.815462905233,>50K
199,24,Self-emp-not-inc,Never-married,Male,40,,<=50K
200,26,Private,Never-married,Female,40,27326.16978181209,<=50K
201,19,,Never-married,Male,40,,<=50K
202,51,Private,Married-civ-spouse,Male,50,35898.737724605344,>50K
203,42,Local-gov,Never-married,Female,40,31665.057686513268,<=50K
204,37,State-gov,Divorced,Female,35,24007.887645942123,<=50K
205,18,Private,Never-married,Female,40,,<=50K
206,36,Private,Married-civ-spouse,Male,36,27540.4316329809,>50K
207,35,Private,Divorced,Male,50,43579.17308126802,<=50K
208,58,Self-emp-inc,Married-civ-spouse,Female,35,46976.7001811675,>50K
209,17,Private,Never-married,Female,20,,<=50K
210,44,Local-gov,Married-civ-spouse,Male,40,23793.245764160725,<=50K
211,37,Private,Married-civ-spouse,Male,40,28821.143106827287,>50K
212,35,Private,Never-married,Female,40,30618.37222404884,<=50K
213,60,Private,Married-civ-spouse,Male,40,29549.712748741982,<=50K
214,54,Self-emp-inc,Married-civ-spouse,Male,40,35264.815568812526,>50K
215,37,Private,Never-married,Male,50,26833.08868154224,>50K
216,50,Private,Divorced,Female,40,20541.218569478388,<=50K
217,38,Private,Married-civ-spouse,Male,50,34381.713049796315,<=50K
218,45,Private,Married-civ-spouse,Male,50,32306.614116605248,<=50K
219,25,Private,Never-married,Male,40,,<=50K
220,31,Private,Married-civ-spouse,Male,40,25382.170375894217,<=50K
221,64,,Divorced,Male,40,13682.006416750279,<=50K
222,90,Private,Never-married,Male,40,27143.09259568813,<=50K
223,54,Private,Married-civ-spouse,Male,20,32568.46831359786,<=50K
224,53,Local-gov,Never-married,Female,35,27398.20909586253,<=50K
225,18,Private,Never-married,Female,40,,<=50K
226,60,,Divorced,Female,20,21174.327620767464,<=50K
227,66,Self-emp-not-inc,Married-civ-spouse,Male,50,26205.62349157571,<=50K
228,75,Private,Widowed,Female,20,26564.35394969015,<=50K
229,65,Private,Divorced,Female,40,27745.04011191294,<=50K
230,35,Private,Separated,Male,40,25578.205034532315,<=50K
231,41,Private,Divorced,Female,38,33563.73702786879,<=50K
232,25,Private,Never-married,Male,42,,<=50K
233,33,Private,Divorced,Female,40,24965.239030440298,<=50K
234,28,Private,Never-married,Male,50,32490.422129416806,>50K
235,59,State-gov,Married-civ-spouse,Male,40,29969.8846225067,<=50K
236,40,State-gov,Never-married,Female,38,32265.035554498827,<=50K
237,41,Private,Married-civ-spouse,Male,50,31753.40802294524,>50K
238,38,Local-gov,Married-civ-spouse,Male,50,47028.12911248892,>50K
239,23,Private,Never-married,Male,40,,<=50K
240,40,Private,Married-civ-spouse,Male,40,32445.70925156967,>50K
241,41,Self-emp-not-inc,Married-civ-spouse,Female,20,33878.584342750975,<=50K
242,24,State-gov,Married-civ-spouse,Male,50,,<=50K
243,20,,Never-married,Male,20,,<=50K
244,38,Private,Divorced,Male,40,27788.76343638992,<=50K
245,56,Private,Married-civ-spouse,Male,35,28375.970658286125,<=50K
246,58,Private,Married-civ-spouse,Male,45,23096.632506318085,>50K
247,32,Private,Never-married,Female,34,35067.51646973567,<=50K
248,40,Private,Married-civ-spouse,Male,50,50557.17132752429,>50K
249,45,Private,Married-civ-spouse,Male,40,24101.93827707278,<=50K
250,41,Private,Married-civ-spouse,Female,40,33567.43409050625,>50K
251,42,Private,Married-civ-spouse,Female,40,47387.27988583651,<=50K
252,59,Local-gov,Widowed,Female,30,22070.698642310585,<=50K
253,19,Local-gov,Never-married,Male,40,,<=50K
254,58,Private,Never-married,Male,20,20143.849738507437,<=50K
255,42,Self-emp-not-inc,Married-civ-spouse,Male,40,34573.879450812325,>50K
256,20,Private,Never-married,Female,40,,<=50K
257,32,Private,Separated,Female,30,35812.567441331776,<=50K
258,45,Private,Widowed,Female,45,24209.646295798433,<=50K
259,50,Private,Divorced,Male,40,28193.79250995368,<=50K
260,36,Private,Divorced,Female,40,35279.24944360057,<=50K
261,45,Private,Married-civ-spouse,Male,50,28304.536804202035,<=50K
262,17,Private,Never-married,Male,20,,<=50K
263,59,Private,Married-civ-spouse,Male,40,31930.698812185725,<=50K
264,26,Private,Married-civ-spouse,Male,40,23959.25741601654,<=50K
265,37,Self-emp-inc,Married-civ-spouse,Male,50,29987.725382163673,>50K
266,19,,Never-married,Male,24,,<=50K
267,64,Private,Married-civ-spouse,Male,40,28361.39461130434,>50K
268,33,Private,Never-married,Female,45,49796.79761214689,<=50K
269,33,Private,Married-civ-spouse,Female,40,33704.74384958244,>50K
270,61,Private,Married-civ-spouse,Male,40,45926.1384527755,>50K
271,17,Private,Never-married,Male,24,,<=50K
272,50,Self-emp-not-inc,Married-civ-spouse,Male,50,44625.88132437529,<=50K
273,27,Local-gov,Never-married,Male,35,26562.646909369185,<=50K
274,30,Private,Divorced,Female,40,19453.226875903645,<=50K
275,43,Private,Married-civ-spouse,Male,40,28555.263870212013,<=50K
276,44,Private,Married-civ-spouse,Male,40,35735.56355620067,>50K
277,35,Private,Never-married,Female,40,23756.65651767605,<=50K
278,25,Private,Never-married,Female,40,,<=50K
279,24,Private,Married-civ-spouse,Female,48,,>50K
280,22,Private,Never-married,Female,20,,<=50K
281,42,Local-gov,Married-civ-spouse,Male,40,44939.38959475136,>50K
282,34,Private,Divorced,Female,45,30707.404956389044,<=50K
283,60,Private,Divorced,Female,42,35533.030803156114,<=50K
284,21,Private,Never-married,Male,40,,<=50K
285,57,Federal-gov,Married-civ-spouse,Male,40,29786.712028851496,>50K
286,41,Private,Married-civ-spouse,Male,50,33420.27273476736,>50K
287,50,Private,Divorced,Male,45,45954.96415891082,<=50K
288,25,Private,Never-married,Female,40,,<=50K
289,50,Private,Married-civ-spouse,Male,40,19723.46349208673,<=50K
290,36,Private,Married-civ-spouse,Male,45,31039.09178910884,<=50K
291,31,Private,Divorced,Female,40,17843.17079919079,<=50K
292,29,Local-gov,Never-married,Male,50,49580.78407767424,<=50K
293,21,Private,Never-married,Male,45,,<=50K
294,27,Private,Never-married,Female,40,35362.65388327691,<=50K
295,65,Private,Married-civ-spouse,Male,20,12498.059365789839,<=50K
296,37,Self-emp-inc,Divorced,Female,50,33322.93761948143,<=50K
297,39,,Married-civ-spouse,Female,40,27852.517749174338,<=50K
298,24,Private,Never-married,Male,40,,<=50K
299,38,Private,Divorced,Male,50,27087.378125992436,<=50K
300,48,Private,Married-civ-spouse,Male,40,33310.1783184062,>50K
301,21,Private,Never-married,Female,25,,<=50K
302,31,Private,Married-civ-spouse,Male,45,31755.55826211267,>50K
303,55,Private,Married-civ-spouse,Male,40,30405.408830257336,>50K
304,24,Private,Married-civ-spouse,Female,40,,<=50K
305,43,Private,Divorced,Female,40,33843.33232020339,<=50K
306,26,Private,Never-married,Male,45,27601.44538219084,<=50K
307,46,Private,Never-married,Female,33,24531.357817390388,<=50K
308,35,Private,Married-civ-spouse,Male,40,29403.563403344175,>50K
309,41,Self-emp-inc,Married-civ-spouse,Male,50,29812.300861171632,>50K
310,26,Private,Never-married,Male,40,25968.752712338257,<=50K
311,34,Private,Married-civ-spouse,Male,35,33779.41945043075,>50K
312,19,,Never-married,Female,25,,<=50K
313,36,Self-emp-not-inc,Divorced,Female,40,29953.88563897916,>50K
314,22,Private,Never-married,Male,20,,<=50K
315,24,Private,Never-married,Male,40,,<=50K
316,77,Self-emp-not-inc,Married-civ-spouse,Male,40,24629.497723369743,<=50K
317,22,Private,Married-civ-spouse,Female,40,,<=50K
318,29,Private,Never-married,Female,40,31030.173343815888,<=50K
319,62,Private,Widowed,Female,24,27987.19509864269,<=50K
320,39,Self-emp-not-inc,Married-civ-spouse,Male,40,34940.992064593804,<=50K
321,43,Private,Married-civ-spouse,Male,50,24119.133371803568,<=50K
322,35,Private,Divorced,Male,45,35538.686099015686,<=50K
323,29,Private,Never-married,Female,40,45109.5975556629,<=50K
324,76,Self-emp-not-inc,Married-civ-spouse,Male,20,34901.41740931694,<=50K
325,63,Self-emp-not-inc,Married-civ-spouse,Male,45,29461.182026379767,<=50K
326,23,,Never-married,Female,20,,<=50K
327,43,Private,Married-civ-spouse,Female,50,29891.7655368641,>50K
328,58,Self-emp-not-inc,Married-civ-spouse,Male,40,25265.0135863495,<=50K
329,66,Private,Never-married,Male,50,24146.74693697087,<=50K
330,41,Private,Never-married,Male,45,22418.161607445087,<=50K
331,26,Private,Never-married,Male,40,21502.390815247287,<=50K
332,47,Private,Never-married,Male,40,26970.38961009315,<=50K
333,55,Local-gov,Married-civ-spouse,Male,40,45374.65594092002,<=50K
334,53,Private,Married-civ-spouse,Male,40,42395.43897238296,<=50K
335,17,Private,Never-married,Male,48,,<=50K
336,30,Private,Never-married,Male,40,31416.649374409815,<=50K
337,49,Private,Never-married,Male,50,28394.1695122757,<=50K
338,19,Private,Never-married,Male,30,,<=50K
339,45,Private,Married-civ-spouse,Male,40,48877.67945091602,<=50K
340,26,Private,Never-married,Male,40,29795.368679219868,<=50K
341,38,Private,Married-civ-spouse,Male,40,33603.75204661835,>50K
342,36,State-gov,Married-civ-spouse,Male,40,48738.04894448121,>50K
343,33,Private,Never-married,Male,20,33052.308375437446,<=50K
344,22,State-gov,Never-married,Female,40,,<=50K
345,43,Self-emp-not-inc,Never-married,Male,42,22594.940138382153,<=50K
346,67,,Married-civ-spouse,Male,20,15302.982989443437,<=50K
347,30,,Divorced,Female,40,35659.80435651536,<=50K
348,56,Private,Married-spouse-absent,Male,25,28913.837525987863,<=50K
349,31,Private,Never-married,Male,25,22523.402855684835,<=50K
350,33,Private,Married-civ-spouse,Male,40,34038.98670166372,>50K
351,26,Private,Married-civ-spouse,Male,40,28690.764930504753,<=50K
352,33,Private,Married-civ-spouse,Male,40,43769.00319092111,>50K
353,46,Local-gov,Married-civ-spouse,Male,30,26092.33112931912,<=50K
354,59,,Married-civ-spouse,Male,40,35866.19800805035,>50K
355,38,Federal-gov,Married-civ-spouse,Male,40,25047.584410393574,>50K
356,65,Private,Widowed,Male,40,19148.65230041308,<=50K
357,40,Private,Married-civ-spouse,Male,40,32852.23539150167,>50K
358,42,Private,Married-civ-spouse,Female,35,30188.883611182642,<=50K
359,26,Self-emp-not-inc,Married-civ-spouse,Male,40,30332.23449936499,<=50K
360,36,Private,Married-civ-spouse,Female,24,28445.493356116844,<=50K
361,62,Private,Married-civ-spouse,Male,40,22282.803543350085,>50K
362,43,Private,Married-civ-spouse,Male,45,32046.222160628226,<=50K
363,43,Private,Divorced,Male,45,31891.422478604814,>50K
364,22,Private,Married-spouse-absent,Male,50,,<=50K
365,28,Private,Married-civ-spouse,Male,40,46585.269123839586,<=50K
366,56,Self-emp-not-inc,Married-civ-spouse,Male,45,32431.548403984696,<=50K
367,22,Private,Never-married,Female,20,,<=50K
368,57,Private,Divorced,Female,45,30937.56087521971,>50K
369,39,Private,Divorced,Female,40,31807.284649899153,<=50K
370,26,Federal-gov,Never-married,Female,20,24753.912265868013,<=50K
371,17,Private,Never-married,Male,20,,<=50K
372,40,State-gov,Married-civ-spouse,Male,38,28820.667027293377,>50K
373,45,Private,Married-civ-spouse,Male,40,25807.46636290421,<=50K
374,44,Private,Never-married,Male,40,28834.12526663465,<=50K
375,20,Local-gov,Never-married,Female,20,,<=50K
376,33,Private,Married-civ-spouse,Female,40,23583.206448171266,<=50K
377,23,Private,Never-married,Male,40,,<=50K
378,46,Self-emp-not-inc,Divorced,Male,30,24216.347753037317,<=50K
379,38,Private,Married-civ-spouse,Male,50,35887.50158578856,<=50K
380,54,Private,Divorced,Male,40,31731.72055171167,<=50K
381,46,Private,Divorced,Female,45,35284.74631657335,<=50K
382,25,Private,Married-civ-spouse,Male,40,,<=50K
383,46,Private,Divorced,Female,40,33571.492317019336,<=50K
384,36,Local-gov,Married-civ-spouse,Female,40,18789.0153582886,<=50K
385,23,Private,Never-married,Female,25,,<=50K
386,29,Private,Separated,Male,40,15846.354878469016,<=50K
387,44,Private,Married-civ-spouse,Female,20,32220.67273207526,>50K
388,19,Private,Never-married,Female,20,,<=50K
389,19,Private,Never-married,Female,40,,<=50K
390,35,Private,Married-civ-spouse,Female,40,34607.90645511333,>50K
391,27,Private,Never-married,Male,50,18416.40102147314,<=50K
392,46,Self-emp-not-inc,Separated,Male,40,22710.00106600699,<=50K
393,34,State-gov,Married-civ-spouse,Male,45,43420.433416723696,>50K
394,34,Private,Never-married,Female,35,29651.50969171882,<=50K
395,44,Private,Married-civ-spouse,Male,40,29129.925711210377,<=50K
396,45,Private,Divorced,Female,40,24257.20158015428,<=50K
397,20,,Never-married,Female,35,,<=50K
398,25,Private,Married-civ-spouse,Male,50,,>50K
399,52,Self-emp-inc,Married-civ-spouse,Male,50,15497.853623302688,>50K
400,20,Private,Never-married,Male,40,,<=50K
401,28,Private,Never-married,Female,40,22945.30544056263,<=50K
402,50,State-gov,Married-civ-spouse,Male,40,24692.025446705346,>50K
403,34,Private,Divorced,Female,50,51950.530485844916,<=50K
404,28,Private,Married-civ-spouse,Male,40,32315.866559399958,<=50K
405,41,Private,Married-civ-spouse,Male,50,34266.94456302544,>50K
406,28,Private,Married-civ-spouse,Male,40,35017.58499989573,<=50K
407,46,Self-emp-not-inc,Married-civ-spouse,Male,25,34184.1539519362,<=50K
408,28,,Married-civ-spouse,Female,40,23825.102931973015,>50K
409,32,Private,Married-civ-spouse,Male,50,22106.507120972023,<=50K
410,41,Local-gov,Divorced,Female,24,26440.38290188054,<=50K
411,24,Private,Never-married,Female,40,,<=50K
412,33,Private,Divorced,Female,40,28312.64134414184,<=50K
413,46,Private,Married-civ-spouse,Male,50,41740.417766665356,>50K
414,31,State-gov,Married-civ-spouse,Male,40,29589.421255509194,<=50K
415,35,Private,Divorced,Male,50,25656.334460725957,>50K
416,52,Private,Married-civ-spouse,Male,40,28544.511418558202,<=50K
417,30,Private,Never-married,Female,20,47299.375217806926,<=50K
418,34,Local-gov,Separated,Male,40,30050.522565592037,<=50K
419,34,State-gov,Divorced,Female,40,25915.745631102538,<=50K
420,20,Private,Married-civ-spouse,Male,30,,<=50K
421,17,Private,Never-married,Male,20,,<=50K
422,32,State-gov,Married-civ-spouse,Female,40,27330.384978103622,>50K
423,29,Private,Divorced,Male,40,25474.878662743056,<=50K
424,33,Private,Never-married,Female,35,32831.23049363147,<=50K
425,25,Private,Married-civ-spouse,Male,50,,<=50K
426,36,Federal-gov,Never-married,Male,40,34243.27977097001,<=50K
427,23,Private,Never-married,Male,50,,<=50K
428,63,Self-emp-inc,Married-civ-spouse,Male,40,26964.76928870235,>50K
429,47,Local-gov,Married-civ-spouse,Male,40,27857.22158097666,<=50K
430,80,,Widowed,Male,24,30680.21692409985,<=50K
431,17,,Never-married,Male,40,,<=50K
432,40,Self-emp-not-inc,Married-spouse-absent,Female,40,45148.97457520822,<=50K
433,30,Private,Married-civ-spouse,Female,25,25550.806164597285,>50K
434,27,Private,Never-married,Male,40,26632.587590350075,<=50K
435,33,Private,Married-civ-spouse,Male,50,26262.084512992413,>50K
436,34,Local-gov,Never-married,Male,50,35599.418041944795,<=50K
