age,workclass,marital_status,sex,hours_per_week,capital,income
29,Private,Divorced,Male,50,26908.018947620803,<=50K
36,Private,Married,Male,40,23142.18126039017,<=50K
28,Private,Divorced,Female,40,32247.6174214551,<=50K
53,Private,Married,Female,40,25038.469083947115,>50K
49,Self-emp-inc,Married,Male,50,33328.43688826953,>50K
31,Private,Separated,Female,40,25678.19847136108,<=50K
29,Self-emp-not-inc,Married,Male,50,21380.538612511045,>50K
79,Private,Married,Male,20,25899.253298225198,<=50K
27,Private,Never-married,Male,40,34950.633722635626,<=50K
40,Private,Married,Male,40,28269.389336702217,<=50K
31,goverment,Married,Male,40,26791.422380726865,<=50K
52,Private,Married,Male,40,23283.475003773023,<=50K
46,Private,Married,Female,40,24505.81281518237,<=50K
59,Private,Married,Male,48,30130.774052080145,<=50K
44,Private,Divorced,Female,40,27157.747922256163,>50K
53,Private,Divorced,Female,35,46406.61897847804,<=50K
49,goverment,Married,Male,40,50616.37927434729,>50K
33,Private,Married,Male,50,32404.12450100497,<=50K
30,Private,Never-married,Male,40,25982.198903432774,<=50K
43,goverment,Never-married,Female,50,26987.579782643847,>50K
57,Private,Married,Male,40,29345.952213366592,<=50K
37,Private,Divorced,Female,40,34402.485063354,<=50K
28,Private,Divorced,Female,25,23854.34192305793,<=50K
30,Private,Married,Female,35,27547.672694971963,<=50K
34,goverment,Married,Male,40,33206.92058519627,>50K
29,goverment,Never-married,Male,50,23963.77536465444,<=50K
48,Self-emp-not-inc,Married,Male,50,32895.58423523392,>50K
37,Private,Married,Male,48,28342.856417786345,>50K
48,Private,Divorced,Female,40,24605.781911512957,<=50K
32,goverment,Never-married,Male,40,32729.50011067152,<=50K
76,Private,Married,Male,40,43184.21635841496,>50K
44,Private,Married,Male,50,33237.52467990756,>50K
47,Self-emp-not-inc,Never-married,Female,50,25429.873395335475,<=50K
29,Private,Never-married,Male,40,25451.025451873043,<=50K
32,Self-emp-inc,Married,Male,40,25928.309929219733,>50K
30,Private,Never-married,Male,40,32475.675025364497,<=50K
31,goverment,Never-married,Female,40,32442.43300742213,<=50K
42,Private,Married,Male,40,33478.19125074813,<=50K
38,Private,Married,Male,40,27412.57179342258,>50K
56,Self-emp-not-inc,Married,Male,50,22822.09115322017,>50K
28,Private,Married,Female,25,29506.594068970444,<=50K
36,Private,Never-married,Female,40,34499.37073452478,<=50K
53,Private,Married,Male,50,33824.806430029406,<=50K
56,Self-emp-inc,Married,Male,50,20083.226449609687,<=50K
49,goverment,Married,Male,40,47005.96981255169,>50K
55,Private,Married,Male,50,17272.57774529392,<=50K
40,Private,Married,Male,50,30555.257744404626,<=50K
30,Private,Never-married,Male,40,49398.12956736765,<=50K
29,goverment,Married,Male,50,15472.814748316638,>50K
47,Private,Married,Female,40,28843.86361399096,>50K
31,Private,Married,Male,40,31796.295719309823,>50K
39,Private,Divorced,Male,40,30575.91849276489,<=50K
28,Private,Never-married,Female,50,48033.60259932998,<=50K
38,Self-emp-not-inc,Married,Male,35,24637.270781767264,<=50K
37,Private,Married,Male,50,29010.98061378302,<=50K
46,Private,Divorced,Female,36,25935.84475464993,<=50K
38,goverment,Married,Male,40,34691.27102051946,>50K
43,Self-emp-not-inc,Married,Male,50,33338.37013828357,<=50K
27,Private,Married,Female,35,28412.99204348579,<=50K
49,Private,Married,Male,40,34584.34742365489,>50K
61,Self-emp-inc,Married,Male,40,26266.887811319823,<=50K
27,Private,Never-married,Female,40,33727.10602221571,<=50K
45,Private,Never-married,Female,40,29185.21112994056,>50K
70,Private,Never-married,Male,40,18532.63125777029,<=50K
31,Private,Never-married,Female,30,18217.95185153746,<=50K
36,Private,Widowed,Female,24,48621.57596472773,<=50K
64,Private,Married,Male,40,20248.78096730315,<=50K
47,goverment,Divorced,Female,38,23833.384959940035,<=50K
34,Private,Never-married,Female,40,23707.969682440023,<=50K
33,Private,Never-married,Female,40,35088.8994388598,<=50K
48,Private,Married,Male,46,27238.458376203977,<=50K
71,Self-emp-not-inc,Separated,Male,20,30529.35284249701,<=50K
29,Private,Divorced,Male,50,28576.28739443344,<=50K
42,Private,Separated,Male,50,23290.807136174444,<=50K
44,Self-emp-inc,Divorced,Female,40,33431.161504692805,<=50K
28,Private,Never-married,Female,40,26537.45858192137,<=50K
45,Self-emp-not-inc,Married,Male,40,35039.65005990124,>50K
36,Private,Divorced,Female,40,31633.17498068032,<=50K
39,goverment,Never-married,Male,42,28867.700918219223,<=50K
46,goverment,Widowed,Male,40,44191.63284285421,<=50K
66,goverment,Widowed,Female,20,41786.76468347057,<=50K
27,Private,Never-married,Male,40,23928.81207826686,<=50K
28,goverment,Married,Male,40,21249.180415767005,<=50K
51,Private,Married,Male,40,20568.778096371258,>50K
27,Private,Never-married,Male,50,42270.85756059452,<=50K
28,goverment,Married,Male,40,26987.034193347565,>50K
27,Private,Married,Female,25,34971.72621252073,<=50K
34,Private,Never-married,Male,40,26053.080829283343,<=50K
33,Private,Married,Male,50,51093.81765433071,<=50K
44,goverment,Married,Male,38,34893.99893161315,>50K
43,Private,Divorced,Female,40,35167.14619075811,<=50K
30,Private,Never-married,Male,45,22177.75641157632,<=50K
40,Private,Married,Male,40,28395.883534387536,>50K
37,goverment,Married,Male,42,45865.54713190487,>50K
34,Private,Married,Male,40,31652.89978186179,<=50K
41,Self-emp-not-inc,Divorced,Female,40,22211.329623295016,<=50K
31,Private,Married,Female,50,34151.87115694652,<=50K
58,goverment,Married,Male,20,24644.47225388532,>50K
38,Private,Divorced,Female,28,47095.46742717327,<=50K
41,goverment,Married,Male,40,22371.93321352604,<=50K
47,Private,Married,Male,45,33321.35080240692,<=50K
41,goverment,Married,Male,24,34831.84329961602,<=50K
36,Private,Divorced,Male,40,27795.372901999315,<=50K
40,goverment,Never-married,Female,50,34458.38676403517,>50K
35,Private,Married,Male,40,29598.815462905237,>50K
26,Private,Never-married,Female,40,27326.16978181209,<=50K
51,Private,Married,Male,50,35898.737724605344,>50K
42,goverment,Never-married,Female,40,31665.057686513268,<=50K
37,goverment,Divorced,Female,35,24007.887645942123,<=50K
36,Private,Married,Male,36,27540.4316329809,>50K
35,Private,Divorced,Male,50,43579.17308126802,<=50K
58,Self-emp-inc,Married,Female,35,46976.7001811675,>50K
44,goverment,Married,Male,40,23793.245764160725,<=50K
37,Private,Married,Male,40,28821.143106827287,>50K
35,Private,Never-married,Female,40,30618.37222404884,<=50K
60,Private,Married,Male,40,29549.712748741986,<=50K
54,Self-emp-inc,Married,Male,40,35264.815568812526,>50K
37,Private,Never-married,Male,50,26833.08868154224,>50K
50,Private,Divorced,Female,40,20541.218569478388,<=50K
38,Private,Married,Male,50,34381.713049796315,<=50K
45,Private,Married,Male,50,32306.614116605248,<=50K
31,Private,Married,Male,40,25382.170375894217,<=50K
90,Private,Never-married,Male,40,27143.09259568813,<=50K
54,Private,Married,Male,20,32568.46831359786,<=50K
53,goverment,Never-married,Female,35,27398.20909586253,<=50K
66,Self-emp-not-inc,Married,Male,50,26205.62349157571,<=50K
75,Private,Widowed,Female,20,26564.35394969015,<=50K
65,Private,Divorced,Female,40,27745.04011191294,<=50K
35,Private,Separated,Male,40,25578.205034532315,<=50K
41,Private,Divorced,Female,38,33563.73702786879,<=50K
33,Private,Divorced,Female,40,24965.239030440294,<=50K
28,Private,Never-married,Male,50,32490.42212941681,>50K
59,goverment,Married,Male,40,29969.8846225067,<=50K
40,goverment,Never-married,Female,38,32265.035554498827,<=50K
41,Private,Married,Male,50,31753.40802294524,>50K
38,goverment,Married,Male,50,47028.12911248892,>50K
40,Private,Married,Male,40,32445.70925156967,>50K
41,Self-emp-not-inc,Married,Female,20,33878.584342750975,<=50K
38,Private,Divorced,Male,40,27788.76343638992,<=50K
56,Private,Married,Male,35,28375.970658286125,<=50K
58,Private,Married,Male,45,23096.632506318085,>50K
32,Private,Never-married,Female,34,35067.51646973567,<=50K
40,Private,Married,Male,50,50557.17132752429,>50K
45,Private,Married,Male,40,24101.93827707278,<=50K
41,Private,Married,Female,40,33567.43409050625,>50K
42,Private,Married,Female,40,47387.27988583651,<=50K
59,goverment,Widowed,Female,30,22070.698642310585,<=50K
58,Private,Never-married,Male,20,20143.84973850744,<=50K
42,Self-emp-not-inc,Married,Male,40,34573.879450812325,>50K
32,Private,Separated,Female,30,35812.567441331776,<=50K
45,Private,Widowed,Female,45,24209.646295798437,<=50K
50,Private,Divorced,Male,40,28193.79250995368,<=50K
36,Private,Divorced,Female,40,35279.24944360057,<=50K
45,Private,Married,Male,50,28304.536804202035,<=50K
59,Private,Married,Male,40,31930.698812185725,<=50K
26,Private,Married,Male,40,23959.25741601654,<=50K
37,Self-emp-inc,Married,Male,50,29987.725382163677,>50K
64,Private,Married,Male,40,28361.39461130434,>50K
33,Private,Never-married,Female,45,49796.79761214689,<=50K
33,Private,Married,Female,40,33704.74384958244,>50K
61,Private,Married,Male,40,45926.1384527755,>50K
50,Self-emp-not-inc,Married,Male,50,44625.88132437529,<=50K
27,goverment,Never-married,Male,35,26562.646909369185,<=50K
30,Private,Divorced,Female,40,19453.226875903645,<=50K
43,Private,Married,Male,40,28555.263870212013,<=50K
44,Private,Married,Male,40,35735.56355620067,>50K
35,Private,Never-married,Female,40,23756.65651767605,<=50K
42,goverment,Married,Male,40,44939.38959475136,>50K
34,Private,Divorced,Female,45,30707.404956389044,<=50K
60,Private,Divorced,Female,42,35533.030803156114,<=50K
57,goverment,Married,Male,40,29786.712028851496,>50K
41,Private,Married,Male,50,33420.27273476736,>50K
50,Private,Divorced,Male,45,45954.96415891082,<=50K
50,Private,Married,Male,40,19723.46349208673,<=50K
36,Private,Married,Male,45,31039.09178910884,<=50K
31,Private,Divorced,Female,40,17843.17079919079,<=50K
29,goverment,Never-married,Male,50,49580.78407767424,<=50K
27,Private,Never-married,Female,40,35362.65388327691,<=50K
65,Private,Married,Male,20,12498.05936578984,<=50K
37,Self-emp-inc,Divorced,Female,50,33322.93761948143,<=50K
38,Private,Divorced,Male,50,27087.37812599244,<=50K
48,Private,Married,Male,40,33310.1783184062,>50K
31,Private,Married,Male,45,31755.55826211267,>50K
55,Private,Married,Male,40,30405.408830257336,>50K
43,Private,Divorced,Female,40,33843.33232020339,<=50K
26,Private,Never-married,Male,45,27601.44538219084,<=50K
46,Private,Never-married,Female,33,24531.357817390388,<=50K
35,Private,Married,Male,40,29403.56340334417,>50K
41,Self-emp-inc,Married,Male,50,29812.300861171632,>50K
26,Private,Never-married,Male,40,25968.752712338257,<=50K
34,Private,Married,Male,35,33779.41945043075,>50K
36,Self-emp-not-inc,Divorced,Female,40,29953.88563897916,>50K
77,Self-emp-not-inc,Married,Male,40,24629.497723369743,<=50K
29,Private,Never-married,Female,40,31030.173343815888,<=50K
62,Private,Widowed,Female,24,27987.19509864269,<=50K
39,Self-emp-not-inc,Married,Male,40,34940.992064593804,<=50K
43,Private,Married,Male,50,24119.133371803568,<=50K
35,Private,Divorced,Male,45,35538.686099015686,<=50K
29,Private,Never-married,Female,40,45109.5975556629,<=50K
76,Self-emp-not-inc,Married,Male,20,34901.41740931694,<=50K
63,Self-emp-not-inc,Married,Male,45,29461.182026379767,<=50K
43,Private,Married,Female,50,29891.7655368641,>50K
58,Self-emp-not-inc,Married,Male,40,25265.0135863495,<=50K
66,Private,Never-married,Male,50,24146.74693697087,<=50K
41,Private,Never-married,Male,45,22418.161607445087,<=50K
26,Private,Never-married,Male,40,21502.390815247287,<=50K
47,Private,Never-married,Male,40,26970.38961009315,<=50K
55,goverment,Married,Male,40,45374.65594092002,<=50K
53,Private,Married,Male,40,42395.43897238296,<=50K
30,Private,Never-married,Male,40,31416.64937440981,<=50K
49,Private,Never-married,Male,50,28394.1695122757,<=50K
45,Private,Married,Male,40,48877.67945091602,<=50K
26,Private,Never-married,Male,40,29795.368679219868,<=50K
38,Private,Married,Male,40,33603.75204661835,>50K
36,goverment,Married,Male,40,48738.04894448121,>50K
33,Private,Never-married,Male,20,33052.308375437446,<=50K
43,Self-emp-not-inc,Never-married,Male,42,22594.940138382157,<=50K
56,Private,Married,Male,25,28913.837525987863,<=50K
31,Private,Never-married,Male,25,22523.402855684835,<=50K
33,Private,Married,Male,40,34038.98670166372,>50K
26,Private,Married,Male,40,28690.764930504756,<=50K
33,Private,Married,Male,40,43769.00319092111,>50K
46,goverment,Married,Male,30,26092.33112931912,<=50K
38,goverment,Married,Male,40,25047.58441039357,>50K
65,Private,Widowed,Male,40,19148.65230041308,<=50K
40,Private,Married,Male,40,32852.23539150167,>50K
42,Private,Married,Female,35,30188.88361118264,<=50K
26,Self-emp-not-inc,Married,Male,40,30332.23449936499,<=50K
36,Private,Married,Female,24,28445.493356116844,<=50K
62,Private,Married,Male,40,22282.803543350085,>50K
43,Private,Married,Male,45,32046.222160628226,<=50K
43,Private,Divorced,Male,45,31891.42247860481,>50K
28,Private,Married,Male,40,46585.26912383959,<=50K
56,Self-emp-not-inc,Married,Male,45,32431.548403984696,<=50K
57,Private,Divorced,Female,45,30937.56087521971,>50K
39,Private,Divorced,Female,40,31807.284649899157,<=50K
26,goverment,Never-married,Female,20,24753.912265868013,<=50K
40,goverment,Married,Male,38,28820.667027293377,>50K
45,Private,Married,Male,40,25807.46636290421,<=50K
44,Private,Never-married,Male,40,28834.12526663465,<=50K
33,Private,Married,Female,40,23583.206448171262,<=50K
46,Self-emp-not-inc,Divorced,Male,30,24216.34775303732,<=50K
38,Private,Married,Male,50,35887.50158578856,<=50K
54,Private,Divorced,Male,40,31731.72055171167,<=50K
46,Private,Divorced,Female,45,35284.74631657335,<=50K
46,Private,Divorced,Female,40,33571.492317019336,<=50K
36,goverment,Married,Female,40,18789.0153582886,<=50K
29,Private,Separated,Male,40,15846.354878469016,<=50K
44,Private,Married,Female,20,32220.67273207526,>50K
35,Private,Married,Female,40,34607.90645511333,>50K
27,Private,Never-married,Male,50,18416.40102147314,<=50K
46,Self-emp-not-inc,Separated,Male,40,22710.00106600699,<=50K
34,goverment,Married,Male,45,43420.433416723696,>50K
34,Private,Never-married,Female,35,29651.50969171882,<=50K
44,Private,Married,Male,40,29129.925711210377,<=50K
45,Private,Divorced,Female,40,24257.20158015428,<=50K
52,Self-emp-inc,Married,Male,50,15497.853623302688,>50K
28,Private,Never-married,Female,40,22945.30544056263,<=50K
50,goverment,Married,Male,40,24692.025446705346,>50K
34,Private,Divorced,Female,50,51950.53048584492,<=50K
28,Private,Married,Male,40,32315.86655939996,<=50K
41,Private,Married,Male,50,34266.94456302544,>50K
28,Private,Married,Male,40,35017.58499989573,<=50K
46,Self-emp-not-inc,Married,Male,25,34184.1539519362,<=50K
32,Private,Married,Male,50,22106.507120972023,<=50K
41,goverment,Divorced,Female,24,26440.38290188054,<=50K
33,Private,Divorced,Female,40,28312.64134414184,<=50K
46,Private,Married,Male,50,41740.41776666536,>50K
31,goverment,Married,Male,40,29589.421255509194,<=50K
35,Private,Divorced,Male,50,25656.33446072596,>50K
52,Private,Married,Male,40,28544.5114185582,<=50K
30,Private,Never-married,Female,20,47299.375217806926,<=50K
34,goverment,Separated,Male,40,30050.52256559204,<=50K
34,goverment,Divorced,Female,40,25915.745631102534,<=50K
32,goverment,Married,Female,40,27330.384978103622,>50K
29,Private,Divorced,Male,40,25474.878662743056,<=50K
33,Private,Never-married,Female,35,32831.23049363147,<=50K
36,goverment,Never-married,Male,40,34243.27977097001,<=50K
63,Self-emp-inc,Married,Male,40,26964.76928870235,>50K
47,goverment,Married,Male,40,27857.22158097666,<=50K
40,Self-emp-not-inc,Married,Female,40,45148.97457520822,<=50K
30,Private,Married,Female,25,25550.806164597285,>50K
27,Private,Never-married,Male,40,26632.587590350075,<=50K
33,Private,Married,Male,50,26262.084512992413,>50K
34,goverment,Never-married,Male,50,35599.418041944795,<=50K
34,goverment,Never-married,Female,40,30192.98644671152,<=50K
42,goverment,Married,Female,40,35883.48800967233,<=50K
29,Private,Never-married,Male,40,28053.502318129707,<=50K
45,Private,Divorced,Female,28,29883.556324337245,<=50K
44,Private,Married,Male,40,26910.92201478246,>50K
27,Private,Never-married,Male,40,28935.055804485037,<=50K
44,Private,Widowed,Female,40,20889.57585577743,<=50K
51,Private,Married,Male,40,30135.77448372575,<=50K
45,Self-emp-inc,Married,Male,50,28138.121851034964,>50K
60,Private,Married,Male,40,30901.595845130305,>50K
42,Private,Married,Male,40,27424.707416689,>50K
44,Self-emp-not-inc,Married,Female,40,34648.89305460622,>50K
40,Private,Married,Male,40,31877.21519434348,>50K
30,Private,Married,Female,40,30683.19459615692,<=50K
38,Private,Married,Male,50,33342.678476665955,<=50K
44,Private,Never-married,Male,40,28690.430038760867,<=50K
54,goverment,Married,Male,40,28403.483396463504,<=50K
32,Private,Married,Male,50,30402.62865385683,<=50K
50,Private,Married,Male,40,25415.17835877656,<=50K
37,Private,Married,Female,50,24824.666107707108,<=50K
52,Private,Divorced,Male,40,41456.99348320726,<=50K
38,Private,Married,Male,40,43018.51621802659,<=50K
49,Private,Married,Male,45,33999.39723513306,>50K
30,Private,Married,Female,20,34720.834649796816,>50K
60,Private,Never-married,Male,40,30309.114373201937,>50K
35,Private,Never-married,Male,40,45140.6798579838,<=50K
30,Private,Never-married,Male,50,29452.80817124035,<=50K
67,Private,Divorced,Female,24,31920.891321543582,<=50K
46,Private,Never-married,Female,40,29376.19450801656,<=50K
27,Private,Never-married,Male,40,46026.865372961205,<=50K
33,Private,Married,Male,45,31548.673020108832,<=50K
43,Self-emp-not-inc,Married,Male,20,28726.889591600506,<=50K
28,goverment,Never-married,Male,20,34932.099993391894,<=50K
41,Private,Married,Female,40,28905.000970806155,<=50K
59,goverment,Married,Male,45,32018.604627838024,<=50K
45,goverment,Divorced,Female,40,35308.526054751084,<=50K
38,Private,Married,Male,50,52645.14795199977,>50K
40,Private,Never-married,Female,35,46517.11474053233,<=50K
46,goverment,Divorced,Male,40,32334.02593551819,<=50K
35,Private,Never-married,Female,50,27351.315345030234,<=50K
34,Private,Divorced,Female,25,21684.657074497627,<=50K
33,Private,Never-married,Male,20,27469.29101098399,<=50K
41,Private,Divorced,Female,36,45492.9018703609,<=50K
26,Private,Never-married,Female,35,32075.82058672648,<=50K
62,goverment,Married,Male,40,17153.40650160217,<=50K
52,Private,Married,Male,40,33458.18604927761,<=50K
58,Private,Divorced,Female,42,28637.053161006537,<=50K
43,Private,Married,Male,40,35201.93188965807,<=50K
47,goverment,Separated,Female,40,26060.803212041472,<=50K
39,Private,Divorced,Female,40,26933.27672477412,<=50K
49,Private,Married,Male,42,25041.889460789524,<=50K
32,Private,Never-married,Male,45,29807.135687384056,<=50K
34,Private,Married,Male,50,16373.536388065915,>50K
28,Private,Divorced,Male,45,24156.88535597818,<=50K
34,Private,Married,Male,50,29134.010927782438,>50K
38,Self-emp-inc,Married,Male,50,28229.964026201946,>50K
50,Private,Married,Male,50,20949.06325499436,>50K
37,goverment,Married,Male,45,27083.65318311853,>50K
44,Private,Divorced,Male,50,21949.370537330306,>50K
28,Private,Married,Female,40,42408.15323599767,<=50K
42,Private,Married,Male,40,30577.48751099334,>50K
74,Private,Divorced,Female,20,26712.68152482274,<=50K
38,Self-emp-not-inc,Married,Male,50,30340.46801379469,<=50K
44,Self-emp-not-inc,Married,Male,40,50179.74379230306,<=50K
44,Private,Divorced,Female,46,18929.833353770337,<=50K
26,Private,Never-married,Male,40,22691.271333769542,<=50K
36,Private,Married,Male,40,45699.99847264192,<=50K
41,Private,Married,Female,50,33973.73642527076,>50K
67,Private,Married,Male,48,25013.573849908746,>50K
39,goverment,Married,Male,50,31123.554406663257,<=50K
57,Private,Widowed,Female,30,34752.569823767655,<=50K
29,Private,Separated,Male,40,43589.19188683119,<=50K
31,Self-emp-inc,Never-married,Female,45,24807.742661128417,<=50K
44,Private,Married,Male,40,28262.56614753799,<=50K
29,Private,Never-married,Male,40,34382.20271104252,<=50K
30,Private,Never-married,Female,40,49448.3136482905,<=50K
27,Private,Never-married,Male,40,32296.876715549577,<=50K
27,Private,Married,Male,50,45408.91704654894,<=50K
32,Private,Never-married,Female,45,28408.261295658136,<=50K
58,Private,Married,Female,20,26479.665062670967,<=50K
35,goverment,Married,Male,40,24990.43384581296,<=50K
28,Private,Never-married,Male,40,19030.465619536106,<=50K
46,Self-emp-not-inc,Divorced,Male,50,31375.386775230843,<=50K
36,Self-emp-not-inc,Separated,Female,40,32444.426196988607,<=50K
72,Private,Widowed,Female,40,31606.75879946865,<=50K
35,Private,Married,Female,40,42244.09809739186,<=50K
33,goverment,Divorced,Female,40,35357.76198017873,>50K
69,Private,Never-married,Female,40,28580.99261240121,<=50K
35,Private,Married,Male,40,28349.853942757207,<=50K
31,Private,Separated,Female,20,44018.32618585837,<=50K
34,Private,Married,Female,32,25368.747359158777,<=50K
30,Private,Married,Male,40,32118.45181647895,<=50K
28,Private,Never-married,Male,50,47627.22664434796,<=50K
54,Private,Married,Male,35,27240.658508561748,>50K
47,Private,Married,Male,50,30706.610266961237,>50K
52,Self-emp-not-inc,Married,Male,50,26315.142343033025,>50K
43,Self-emp-inc,Married,Male,45,18320.47750584305,<=50K
45,Private,Separated,Female,40,32849.17313953997,<=50K
29,Self-emp-not-inc,Separated,Male,35,26962.54781844205,<=50K
47,Private,Divorced,Male,42,26804.07492177433,<=50K
51,Private,Married,Male,40,25604.77469496165,<=50K
37,Private,Married,Male,40,34246.24379869258,>50K
27,Private,Never-married,Female,50,19013.29981344869,<=50K
29,Private,Married,Male,40,46664.81440749623,>50K
36,Self-emp-not-inc,Divorced,Female,35,23097.95316673188,<=50K
58,goverment,Never-married,Female,40,27706.929927306574,<=50K
26,Self-emp-not-inc,Married,Male,45,28575.89330468676,<=50K
57,Private,Married,Male,40,32324.873210172234,>50K
59,Private,Married,Male,40,34899.319442044995,<=50K
27,Private,Married,Male,40,29258.80978762125,<=50K
31,Self-emp-not-inc,Never-married,Male,40,26648.51343845317,<=50K
29,Private,Never-married,Male,50,26069.261580729177,<=50K
52,Private,Married,Male,47,47543.10698053469,>50K
57,Self-emp-inc,Divorced,Male,50,30528.073740223765,<=50K
60,Private,Never-married,Male,48,32523.96541028432,>50K
31,Private,Married,Male,40,28220.24227541377,>50K
27,Private,Never-married,Male,40,32022.538640568506,<=50K
42,Self-emp-not-inc,Married,Male,50,30572.031474863303,>50K
49,Private,Never-married,Female,45,21201.123445952835,<=50K
32,Private,Never-married,Male,40,50236.32498686796,<=50K
60,Private,Divorced,Female,40,32112.22898605223,<=50K
42,goverment,Married,Male,40,32358.512065790303,<=50K
35,Self-emp-not-inc,Never-married,Male,40,30394.57069204133,<=50K
48,Private,Never-married,Female,37,28008.141950681267,<=50K
51,Private,Married,Male,40,31528.57278870581,>50K
29,Private,Never-married,Male,40,45018.05730981133,<=50K
36,goverment,Separated,Male,40,31278.8871420354,<=50K
52,Private,Divorced,Female,50,49197.89209338891,<=50K
26,goverment,Never-married,Male,40,22807.76820103515,<=50K
27,Private,Never-married,Female,20,23311.351641296085,<=50K
39,Private,Never-married,Male,50,28060.4270993569,<=50K
30,Private,Married,Male,45,26417.2205394938,<=50K
50,Self-emp-not-inc,Married,Male,32,30384.337296824346,<=50K
52,Self-emp-inc,Married,Male,50,33257.868746936474,<=50K
46,Private,Married,Male,45,27478.208243743666,>50K
45,Private,Widowed,Female,20,29605.724099830702,<=50K
65,Private,Widowed,Female,24,35694.9583408342,<=50K
29,Private,Married,Male,50,25755.984058552724,<=50K
47,Private,Married,Male,40,48722.81936184339,<=50K
30,Private,Never-married,Male,50,29837.087731115946,<=50K
34,Private,Married,Male,45,35455.088941955306,>50K
38,Self-emp-not-inc,Married,Male,50,43561.58276593225,<=50K
33,Private,Married,Male,40,29651.183171950463,>50K
49,Private,Married,Male,26,34909.197361688086,>50K
47,Self-emp-not-inc,Never-married,Female,40,32713.84116999223,<=50K
49,goverment,Separated,Female,40,32018.0024218412,<=50K
43,Private,Married,Male,50,29158.00017448648,>50K
30,Private,Married,Female,40,45790.279810763095,>50K
58,Self-emp-not-inc,Married,Male,50,31597.348524963672,<=50K
33,Private,Married,Male,50,41811.1660641168,>50K
47,Self-emp-inc,Married,Male,50,32876.152862122675,<=50K
52,Self-emp-not-inc,Married,Male,50,20925.566016153018,>50K
26,Private,Divorced,Male,50,42420.48735994441,<=50K
60,Private,Married,Male,40,30215.622649057885,<=50K
36,Private,Married,Male,50,29756.066756227683,>50K
31,Private,Married,Male,45,44121.88102970585,<=50K
50,Self-emp-inc,Separated,Male,40,46183.40429297712,>50K
31,goverment,Divorced,Female,40,26456.72637028904,<=50K
71,Private,Married,Male,20,28925.491696369914,<=50K
30,goverment,Married,Male,40,32197.55764438231,>50K
35,Private,Married,Male,40,46043.94417325311,>50K
38,goverment,Separated,Female,45,45535.21593705341,<=50K
27,Private,Never-married,Female,32,33078.730411941746,<=50K
29,goverment,Never-married,Female,40,33355.61776199459,<=50K
34,Private,Married,Male,45,35616.53980719087,<=50K
44,Private,Married,Male,35,30547.64671603865,<=50K
43,Private,Married,Male,40,26649.45906418029,>50K
